Bor_Code,WardName,WardCode,assault_09_11
00AA,Aldersgate,00AAFA,10
00AA,Aldgate,00AAFB,0
00AA,Bassishaw,00AAFC,0
00AA,Billingsgate,00AAFD,0
00AA,Bishopsgate,00AAFE,188
00AA,Bread Street,00AAFF,0
00AA,Bridge & Bridge Without,00AAFG,0
00AA,Broad Street,00AAFH,0
00AA,Candlewick,00AAFJ,0
00AA,Castle Baynard,00AAFK,0
00AA,Cheap,00AAFL,0
00AA,Coleman Street,00AAFM,0
00AA,Cordwainer,00AAFN,0
00AA,Cornhill,00AAFP,0
00AA,Cripplegate,00AAFQ,18
00AA,Dowgate,00AAFR,0
00AA,Farringdon Within,00AAFS,22
00AA,Farringdon Without,00AAFT,63
00AA,Langbourn,00AAFU,0
00AA,Lime Street,00AAFW,0
00AA,Portsoken,00AAFX,50
00AA,Queenhithe,00AAFY,21
00AA,Tower,00AAFZ,28
00AA,Vintry,00AAGA,0
00AA,Walbrook,00AAGB,53
00AB,Abbey,00ABFX,374
00AB,Alibon,00ABFY,155
00AB,Becontree,00ABFZ,144
00AB,Chadwell Heath,00ABGA,119
00AB,Eastbrook,00ABGB,128
00AB,Eastbury,00ABGC,161
00AB,Gascoigne,00ABGD,153
00AB,Goresbrook,00ABGE,130
00AB,Heath,00ABGF,193
00AB,Longbridge,00ABGG,114
00AB,Mayesbrook,00ABGH,151
00AB,Parsloes,00ABGJ,125
00AB,River,00ABGK,128
00AB,Thames,00ABGL,213
00AB,Valence,00ABGM,105
00AB,Village,00ABGN,196
00AB,Whalebone,00ABGP,140
00AC,Brunswick Park,00ACFX,102
00AC,Burnt Oak,00ACFY,237
00AC,Childs Hill,00ACFZ,283
00AC,Colindale,00ACGA,253
00AC,Coppetts,00ACGB,178
00AC,East Barnet,00ACGC,125
00AC,East Finchley,00ACGD,138
00AC,Edgware,00ACGE,200
00AC,Finchley Church End,00ACGF,94
00AC,Garden Suburb,00ACGG,66
00AC,Golders Green,00ACGH,175
00AC,Hale,00ACGJ,109
00AC,Hendon,00ACGK,164
00AC,High Barnet,00ACGL,119
00AC,Mill Hill,00ACGM,146
00AC,Oakleigh,00ACGN,107
00AC,Totteridge,00ACGP,87
00AC,Underhill,00ACGQ,138
00AC,West Finchley,00ACGR,150
00AC,West Hendon,00ACGS,205
00AC,Woodhouse,00ACGT,172
00AD,Barnehurst,00ADGA,80
00AD,Belvedere,00ADGB,144
00AD,Blackfen and Lamorbey,00ADGC,44
00AD,Blendon and Penhill,00ADGD,48
00AD,Brampton,00ADGE,28
00AD,Christchurch,00ADGF,175
00AD,Colyers,00ADGG,130
00AD,Crayford,00ADGH,108
00AD,Cray Meadows,00ADGJ,59
00AD,Danson Park,00ADGK,83
00AD,East Wickham,00ADGL,105
00AD,Erith,00ADGM,182
00AD,Falconwood and Welling,00ADGN,67
00AD,Lesnes Abbey,00ADGP,114
00AD,Longlands,00ADGQ,74
00AD,North End,00ADGR,221
00AD,Northumberland Heath,00ADGS,71
00AD,St Mary's,00ADGT,45
00AD,St Michael's,00ADGU,66
00AD,Sidcup,00ADGW,82
00AD,Thamesmead East,00ADGX,194
00AE,Alperton,00AEGJ,161
00AE,Barnhill,00AEGK,143
00AE,Brondesbury Park,00AEGL,123
00AE,Dollis Hill,00AEGM,133
00AE,Dudden Hill,00AEGN,213
00AE,Fryent,00AEGP,146
00AE,Harlesden,00AEGQ,371
00AE,Kensal Green,00AEGR,251
00AE,Kenton,00AEGS,76
00AE,Kilburn,00AEGT,258
00AE,Mapesbury,00AEGU,210
00AE,Northwick Park,00AEGW,86
00AE,Preston,00AEGX,121
00AE,Queens Park,00AEGY,212
00AE,Queensbury,00AEGZ,129
00AE,Stonebridge,00AEHA,371
00AE,Sudbury,00AEHB,143
00AE,Tokyngton,00AEHC,210
00AE,Welsh Harp,00AEHD,185
00AE,Wembley Central,00AEHE,352
00AE,Willesden Green,00AEHF,292
00AF,Bickley,00AFGD,54
00AF,Biggin Hill,00AFGE,51
00AF,Bromley Common and Keston,00AFGF,87
00AF,Bromley Town,00AFGG,315
00AF,Chelsfield and Pratts Bottom,00AFGH,43
00AF,Chislehurst,00AFGJ,133
00AF,Clock House,00AFGK,120
00AF,Copers Cope,00AFGL,132
00AF,Cray Valley East,00AFGM,180
00AF,Cray Valley West,00AFGN,186
00AF,Crystal Palace,00AFGP,260
00AF,Darwin,00AFGQ,25
00AF,Farnborough and Crofton,00AFGR,76
00AF,Hayes and Coney Hall,00AFGS,52
00AF,Kelsey and Eden Park,00AFGT,109
00AF,Mottingham and Chislehurst North,00AFGU,105
00AF,Orpington,00AFGW,132
00AF,Penge and Cator,00AFGX,273
00AF,Petts Wood and Knoll,00AFGY,57
00AF,Plaistow and Sundridge,00AFGZ,194
00AF,Shortlands,00AFHA,19
00AF,West Wickham,00AFHB,51
00AG,Belsize,00AGGD,91
00AG,Bloomsbury,00AGGE,315
00AG,Camden Town with Primrose Hill,00AGGF,535
00AG,Cantelowes,00AGGG,238
00AG,Fortune Green,00AGGH,106
00AG,Frognal and Fitzjohns,00AGGJ,77
00AG,Gospel Oak,00AGGK,125
00AG,Hampstead Town,00AGGL,80
00AG,Haverstock,00AGGM,208
00AG,Highgate,00AGGN,117
00AG,Holborn and Covent Garden,00AGGP,542
00AG,Kentish Town,00AGGQ,267
00AG,Kilburn,00AGGR,290
00AG,King's Cross,00AGGS,213
00AG,Regent's Park,00AGGT,339
00AG,St Pancras and Somers Town,00AGGU,341
00AG,Swiss Cottage,00AGGW,116
00AG,West Hampstead,00AGGX,137
00AH,Addiscombe,00AHGE,194
00AH,Ashburton,00AHGF,146
00AH,Bensham Manor,00AHGG,260
00AH,Broad Green,00AHGH,473
00AH,Coulsdon East,00AHGJ,55
00AH,Coulsdon West,00AHGK,79
00AH,Croham,00AHGL,145
00AH,Fairfield,00AHGM,765
00AH,Fieldway,00AHGN,157
00AH,Heathfield,00AHGP,122
00AH,Kenley,00AHGQ,67
00AH,New Addington,00AHGR,128
00AH,Norbury,00AHGS,201
00AH,Purley,00AHGT,125
00AH,Sanderstead,00AHGU,54
00AH,Selhurst,00AHGW,361
00AH,Selsdon and Ballards,00AHGX,48
00AH,Shirley,00AHGY,114
00AH,South Norwood,00AHGZ,331
00AH,Thornton Heath,00AHHA,334
00AH,Upper Norwood,00AHHB,247
00AH,Waddon,00AHHC,243
00AH,West Thornton,00AHHD,293
00AH,Woodside,00AHHE,258
00AJ,Acton Central,00AJGC,229
00AJ,Cleveland,00AJGD,113
00AJ,Dormers Wells,00AJGE,260
00AJ,Ealing Broadway,00AJGF,258
00AJ,Ealing Common,00AJGG,125
00AJ,East Acton,00AJGH,253
00AJ,Elthorne,00AJGJ,238
00AJ,Greenford Broadway,00AJGK,236
00AJ,Greenford Green,00AJGL,148
00AJ,Hanger Hill,00AJGM,110
00AJ,Hobbayne,00AJGN,144
00AJ,Lady Margaret,00AJGP,167
00AJ,Northfield,00AJGQ,104
00AJ,North Greenford,00AJGR,79
00AJ,Northolt Mandeville,00AJGS,160
00AJ,Northolt West End,00AJGT,215
00AJ,Norwood Green,00AJGU,237
00AJ,Perivale,00AJGW,112
00AJ,South Acton,00AJGX,366
00AJ,Southall Broadway,00AJGY,328
00AJ,Southall Green,00AJGZ,339
00AJ,Southfield,00AJHA,69
00AJ,Walpole,00AJHB,146
00AK,Bowes,00AKGL,131
00AK,Bush Hill Park,00AKGM,78
00AK,Chase,00AKGN,117
00AK,Cockfosters,00AKGP,89
00AK,Edmonton Green,00AKGQ,435
00AK,Enfield Highway,00AKGR,255
00AK,Enfield Lock,00AKGS,208
00AK,Grange,00AKGT,98
00AK,Haselbury,00AKGU,208
00AK,Highlands,00AKGW,64
00AK,Jubilee,00AKGX,138
00AK,Lower Edmonton,00AKGY,209
00AK,Palmers Green,00AKGZ,166
00AK,Ponders End,00AKHA,283
00AK,Southbury,00AKHB,259
