Code,New code,Area name,Inner/ Outer London,GLA Population Estimate 2013,GLA Household Estimate 2013,Inland Area (Hectares),Population density (per hectare) 2013,"Average Age, 2013","Proportion of population aged 0-15, 2013","Proportion of population of working-age, 2013","Proportion of population aged 65 and over, 2013",% of resident population born abroad (2013),Largest migrant population by country of birth (2013),% of largest migrant population (2013),Second largest migrant population by country of birth (2013),% of second largest migrant population (2013),Third largest migrant population by country of birth (2013),% of third largest migrant population (2013),% of population from BAME groups (2013),% people aged 3+ whose main language is not English (2011 census),"Overseas nationals entering the UK (NINo), (2013/14)","New migrant (NINo) rates, (2013/14)",Employment rate (%) (2013/14),Male employment rate (2013/14),Female employment rate (2013/14),Unemployment rate (2013/14),Youth Unemployment rate (2013/14),Proportion of 16-18 year olds who are NEET (%) (2013),Proportion of the working-age population who claim benefits (%) (Feb-2014),% working-age with a disability (2012),Proportion of working age people with no qualifications (%) 2013,Proportion of working age people in London with degree or equivalent and above (%) 2013,"Gross Annual Pay, (2013)",Gross Annual Pay - Male (2013),Gross Annual Pay - Female (2013),% adults that volunteered in past 12 months (2010/11 to 2012/13),Number of jobs by workplace (2012),% of employment that is in public sector (2012),"Jobs Density, 2012","Number of active businesses, 2012",Two-year business survival rates 2012,Crime rates per thousand population 2013/14,Fires per thousand population (2013),Ambulance incidents per hundred population (2013),"Median House Price, 2013","Average Band D Council Tax charge (£), 2014/15",New Homes (net) 2012/13,"Homes Owned outright, (2013) %","Being bought with mortgage or loan, (2013) %","Rented from Local Authority or Housing Association, (2013) %","Rented from Private landlord, (2013) %","% of area that is Greenspace, 2005",Total carbon emissions (2012),"Household Waste Recycling Rate, 2012/13","Number of cars, (2011 Census)","Number of cars per household, (2011 Census)","% of adults who cycle at least once per month, 2011/12","Average Public Transport Accessibility score, 2012",Indices of Multiple Deprivation 2010 Rank of Average Score,Income Support claimant rate (Feb-14),% children living in out-of-work families (2013),"Achievement of 5 or more A*- C grades at GCSE or equivalent including English and Maths, 2012/13",Rates of Children Looked After (2013),% of pupils whose first language is not English (2014),"Male life expectancy, (2010-12)","Female life expectancy, (2010-12)",Teenage conception rate (2012),Life satisfaction score 2012-13 (out of 10),Worthwhileness score 2012-13 (out of 10),Happiness score 2012-13 (out of 10),Anxiety score 2012-13 (out of 10),Political control in council,Proportion of seats won by Conservatives in 2014 election,Proportion of seats won by Labour in 2014 election,Proportion of seats won by Lib Dems in 2014 election,Turnout at 2014 local elections
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AA,E09000001,City of London,Inner London,"8,000","4,514",290,27.5,41.3,7.9,77.5,14.5,-,-,-,-,-,-,-,22.6,17.1,712,125,!,!,!,!,!,5.1,4.6,.,!,65.3,.,.,.,.,"447,900",5.3,77.46,"16,765",63,.,11.6,80.9,"595,000",942,40,-,-,-,-,4.8,"1,499.0",36,"1,692",0.4,18.0,7.6,262,0.5,.,.,98,.,.,.,.,8.10,8.23,7.44,x,,,,,
00AB,E09000002,Barking and Dagenham,Outer London,"195,600","73,261","3,611",54.2,33.2,26.1,63.8,10.1,35.8,Nigeria,5.8,Lithuania,4.6,Pakistan,3.1,45.7,18.7,"4,405",36,63.2,73.2,53.5,13.0,25.5,5.8,14.3,22.6,15.7,21.2,"28,408","30,714","24,320",21,"54,500",22.1,0.46,"4,580",71,82.6,3.8,14.1,"180,000","1,315",510,15.8,29.1,34.9,17.9,33.6,780.8,27,"56,966",0.8,9.0,3.0,22,4.0,27.9,60.2,76,44.7,77.6,82.0,35.4,7.06,7.57,6.97,3.30,Lab,0,100,0,38.2
00AC,E09000003,Barnet,Outer London,"370,000","141,386","8,675",42.7,36.9,20.9,65.5,13.6,35.9,India,2.2,Ireland,2.0,Iran,1.9,37.1,23.4,"9,406",39,72.5,80.0,65.0,5.3,12.1,2.3,7.8,11.8,4.4,43.8,"33,006","39,030","28,346",33,"153,000",20.3,0.65,"22,110",67,61.5,2.0,11.6,"346,000","1,401","1,370",31.5,29.3,12.9,24.2,41.3,"1,542.0",33,"144,717",1.1,9.0,3.0,176,1.7,15.1,71.5,37,43.2,81.4,84.5,14.7,7.35,7.79,7.27,2.63,Cons,51,43,2,41.1
00AD,E09000004,Bexley,Outer London,"236,500","94,701","6,058",39.0,38.9,20.3,63.1,16.6,16.5,Nigeria,2.2,Poland,1.9,Ghana,1.2,19.6,6.0,"1,401",9,72.2,79.5,65.1,8.6,16.7,4.2,8.5,20.2,4.8,21.9,"32,856","34,254","29,272",22,"77,400",18.0,0.53,"7,390",71,49.9,2.3,12.2,"225,000","1,428",420,36.2,36.9,14.6,11.7,31.7,"1,096.0",54,"108,507",1.2,10.0,2.5,174,2.2,18.2,66.0,47,14.1,80.3,84.4,25.8,7.47,7.75,7.21,3.22,Cons,71,24,0,not avail
00AE,E09000005,Brent,Outer London,"320,200","114,319","4,323",74.1,35.3,20.5,68.7,10.8,53.3,India,10.7,Kenya,2.9,Romania,2.8,64.9,37.2,"16,696",77,65.9,75.3,56.0,9.4,19.4,3.0,10.8,18.7,7.9,36.9,"28,111","28,713","27,492",17,"121,900",19.1,0.57,"13,220",71,77.0,2.1,12.7,"350,000","1,358",660,19.5,24.5,23.0,30.9,21.9,"1,358.2",43,"87,802",0.8,10.0,3.7,35,2.3,21.8,62.9,49,62.0,79.9,84.5,19.6,7.23,7.32,7.09,3.33,Lab,10,89,2,33.0
00AF,E09000006,Bromley,Outer London,"317,400","134,013","15,014",21.1,39.8,19.6,62.9,17.4,15.9,India,2.6,Ireland,0.8,Nigeria,0.7,16.9,5.8,"1,902",10,77.7,83.9,71.8,5.1,28.0,5.8,7.5,16.4,5.8,39.1,"36,327","40,504","32,125",29,"120,100",18.4,0.62,"13,425",76,61.1,2.4,11.4,"295,650","1,309",690,39.6,37.4,9.7,11.1,57.8,"1,376.1",49,"153,908",1.2,14.0,2.7,203,1.9,14.7,73.9,40,10.1,81.0,84.5,24.2,7.63,7.80,7.36,3.20,Cons,85,12,0,not avail
00AG,E09000007,Camden,Inner London,"228,400","100,842","2,179",104.8,35.8,15.6,73.3,11.1,44.2,Bangladesh,4.0,United States,3.5,Poland,2.4,34.6,23.5,"8,715",53,64.7,70.7,58.4,7.1,19.3,4.4,10.5,17.0,9.7,53.7,"37,685","40,969","36,080",22,"342,000",13.5,2.11,"26,460",68,124.4,3.1,15.7,"575,000","1,321",560,16.5,15.5,37.3,29.4,24.8,"1,625.4",31,"46,601",0.5,18.0,5.6,74,2.4,24.4,60.4,67,54.3,80.5,85.4,18.1,7.22,7.37,7.13,3.25,Lab,22,74,2,38.7
00AH,E09000008,Croydon,Outer London,"373,100","150,054","8,650",43.1,36.6,21.6,65.6,12.7,32.8,India,3.6,Pakistan,2.7,Poland,2.7,47.2,14.5,"5,776",24,73.4,76.9,69.9,9.4,25.4,3.0,10.4,16.8,6.1,33.0,"31,181","35,195","27,004",27,"137,700",22.1,0.58,"13,020",72,75.5,2.4,13.7,"240,000","1,470",890,26.6,38.8,14.5,18.8,37.1,"1,540.4",44,"140,049",1.0,8.0,3.2,107,2.7,20.8,64.4,82,29.1,79.2,83.2,28.6,7.00,7.46,7.11,3.02,Lab,43,57,0,38.0
00AJ,E09000009,Ealing,Outer London,"344,900","126,861","5,554",62.1,35.6,20.6,68.2,11.1,46.9,India,9.5,Poland,4.3,Kenya,3.8,52.4,33.9,"11,289",49,67.1,75.2,58.2,10.9,39.4,3.3,9.8,17.6,10.6,36.9,"29,778","31,457","27,785",32,"147,000",16.0,0.64,"15,065",71,75.3,2.3,12.0,"327,000","1,359",990,20.8,30.9,16.2,30.8,30.9,"1,602.8",41,"112,845",0.9,14.0,3.3,80,2.0,19.8,60.9,51,59.6,79.2,84.2,22.4,7.24,7.48,7.44,3.58,Lab,17,77,6,41.3
